,ids,smiles,task1
0,846518,COc1ccc(\N=N/c2cccc(C(=O)O)c2C#N)cc1-c1ccccc1,4.113590357939699
1,1056698,COc1cccc(-c2ccccc2)c1\N=N/c1cc(C)c(C(=O)O)cc1C,0.3671896137460829
2,980709,COc1cc(-c2ccccc2)cc(F)c1\N=N/c1cc(F)ccc1C(=O)O,4.121508853385124
3,538211,COc1c(C)cccc1\N=N/c1ccc(-c2ccccc2)c(OC)c1-c1ccccc1,4.265157435797052
4,1082687,COc1cc(\N=N/c2ccc(C#N)c(-c3ccccc3)c2C(=O)O)ccc1-c1ccccc1,0.5509204772509129
5,880656,COc1cc(C(=O)O)c(\N=N/c2cc(C(=O)O)ccc2C#N)cc1-c1ccccc1,4.699504598586252
6,948991,Cc1cc(C(=O)O)ccc1\N=N/c1c(-c2ccccc2)ccc(C)c1C,2.379031684524875
7,280041,COc1cc(\N=N/c2c(C)ccc(-c3ccccc3)c2C#N)ccc1C(=O)O,0.5233554054596694
8,175660,Fc1ccccc1\N=N/c1c(F)ccc(F)c1F,3.5370368129402476
9,653467,COc1cc(C(=O)O)ccc1\N=N/c1cc(C(=O)O)cc(OC)c1-c1ccccc1,4.001833447924045
10,601997,COc1cccc(\N=N/c2c(C(=O)O)ccc(C)c2-c2ccccc2)c1F,5.025904436802392
11,490604,COc1cccc(\N=N/c2cc(F)cc(C)c2OC)c1C,2.514816194134194
12,860583,N#Cc1cc(\N=N/c2cc(F)c(F)cc2C#N)cc(C(=O)O)c1,2.2637100910026087
13,712132,N#Cc1cc(C#N)c(\N=N/c2ccc(C(=O)O)c(C(=O)O)c2)c(-c2ccccc2)c1,0.9166406794739109
14,43702,N#Cc1cc(F)c(\N=N/c2ccc(C(=O)O)cc2)c(C(=O)O)c1,0.9795260505548136
15,705373,COc1cc(C)cc(C)c1\N=N/c1cccc(C(=O)O)c1C(=O)O,1.8989967077892622
16,553505,COc1ccc(F)cc1\N=N/c1c(C(=O)O)cc(C)cc1C(=O)O,5.841727158747403
17,804490,COc1c(C(=O)O)ccc(C(=O)O)c1\N=N/c1ccc(C(=O)O)cc1-c1ccccc1,3.234446883715573
18,20138,COc1ccccc1\N=N/c1c(C)cccc1F,2.856073415571502
19,242477,COc1cccc(\N=N/c2cc(-c3ccccc3)c(C)cc2-c2ccccc2)c1OC,4.65022488978707
